Direction,FieldName,FieldNumber
NONE,NONE,0
C2S,Login,100
S2C,Login,101
C2S,Move,102
S2C,BroadcastMove,103
C2S,Jump,104
S2C,BroadcastJump,105
C2S,LeaveGame,106
S2C,LeaveGame,107
C2S,CreateAccount,108
S2C,CreateAccount,109
C2S,CreateCharacter,110
S2C,CreateCharacter,111
C2S,CharacterList,112
S2C,CharacterList,113
D2S,Login,1000
D2S,CreateAccount,1001
D2S,CreateCharacter,1002
D2S,CharacterList,1003
C2S,DeleteCharacter,114
S2C,DeleteCharacter,115
C2S,EnterWorld,116
S2C,EnterWorld,117
D2S,EnterWorld,1004
