Direction,MessageName,Rule,FieldType,FieldName,FieldNumber
C2S,CreateAccount,,string,loginId,1
C2S,CreateAccount,,string,password,2
S2C,CreateAccount,,uint32,result,1
C2S,Login,,string,loginId,1
C2S,Login,,string,password,2
S2C,Login,,uint32,result,1
S2C,Login,,uint32,accountId,2
S2C,Login,,uint32,sessionId,3
C2S,Move,,float,posX,1
C2S,Move,,float,posY,2
C2S,Move,,float,posZ,3
C2S,Move,,float,yaw,4
S2C,BroadcastMove,,uint32,objectId,1
S2C,BroadcastMove,,float,posX,2
S2C,BroadcastMove,,float,posY,3
S2C,BroadcastMove,,float,posZ,4
S2C,BroadcastMove,,float,yaw,5
C2S,Jump,,uint32,objectId,1
S2C,BroadcastJump,,uint32,objectId,1
C2S,LeaveGame,,uint32,sessionId,1
S2C,LeaveGame,,uint32,sessionId,1
C2S,CreateCharacter,,uint32,slotId,1
C2S,CreateCharacter,,string,name,2
,Character,,uint32,id,1
,Character,,string,name,2
,Character,,uint32,slot,3
,Character,,google.protobuf.Timestamp,createdAt,4
S2C,CreateCharacter,,uint32,result,1
S2C,CreateCharacter,,Character,character,2
C2S,CharacterList,,,,
S2C,CharacterList,,uint32,result,1
S2C,CharacterList,repeated,Character,characters,2
C2S,DeleteCharacter,,uint32,characterId,1
S2C,DeleteCharacter,,uint32,result,1
C2S,EnterWorld,,uint32,characterId,1
S2C,EnterWorld,,uint32,result,1
S2C,EnterWorld,,uint64,objectId,2
S2C,EnterWorld,,WorldCharacter,character,3
S2C,EnterWorld,,float,posX,4
S2C,EnterWorld,,float,posY,5
S2C,EnterWorld,,float,posZ,6
S2C,EnterWorld,,float,yaw,7
D2S,Login,,uint32,result,1
D2S,Login,,uint32,accountId,2
D2S,Login,,uint32,sessionId,3
D2S,EnterWorld,,uint32,result,1
D2S,EnterWorld,,WorldCharacter,character,2
D2S,EnterWorld,,uint32,mapId,3
D2S,EnterWorld,,float,posX,4
D2S,EnterWorld,,float,posY,5
D2S,EnterWorld,,float,posZ,6
D2S,EnterWorld,,float,yaw,7
,WorldCharacter,,uint32,id,1
,WorldCharacter,,string,name,2
,WorldCharacter,,uint32,level,3
